iter	F1	Logloss
0	0.9256900212	0.6639099855
1	0.9358213175	0.6339111214
2	0.9392769393	0.6079458308
3	0.9390295064	0.5855320759
4	0.9400754295	0.5595960694
5	0.9418572225	0.537808463
6	0.9413817167	0.5209469492
7	0.9379319878	0.5084878141
8	0.9388631171	0.4911352242
9	0.9396158629	0.4791971999
10	0.9417630358	0.4620426757
11	0.9435797665	0.4471879684
12	0.9409160094	0.440664828
13	0.9407689643	0.4295954997
14	0.9435271264	0.4158453225
15	0.9444058374	0.4031888447
16	0.9465020576	0.3917965608
17	0.9462380587	0.383853016
18	0.9470304976	0.3741242779
19	0.9487520101	0.3636435355
20	0.9482578032	0.3578270631
21	0.9491857133	0.3502033081
22	0.9486552567	0.3445441842
23	0.9483600837	0.3391789606
24	0.9496855346	0.3316680497
25	0.9511478163	0.3249854662
26	0.9516140326	0.3185884689
27	0.9529486011	0.3120100949
28	0.9522808493	0.3088711027
29	0.9528817838	0.30397028
30	0.9532828283	0.299439944
31	0.9527481772	0.2960921036
32	0.9535503789	0.2910873847
33	0.9544209565	0.285707899
34	0.9538850284	0.2827497976
35	0.9544879899	0.2778951135
36	0.954823298	0.2747733268
37	0.9549574872	0.2721449447
38	0.9552931253	0.2696277395
39	0.9558978687	0.265439831
40	0.9558306372	0.2634900088
41	0.9557634151	0.2619121691
42	0.9553602812	0.2588256399
43	0.9559651097	0.2556628866
44	0.9566380403	0.2524660102
45	0.9573793589	0.2493833515
46	0.9573793589	0.2472515593
47	0.9585272958	0.2433508055
48	0.9586625282	0.2414391559
49	0.9589331075	0.2391542413
50	0.9590684545	0.2365254543
51	0.9596779888	0.234166453
