iter	Passed	Remaining
0	4	4979
1	8	4411
2	12	4071
3	15	3808
4	18	3745
5	22	3731
6	25	3651
7	28	3537
8	32	3541
9	34	3451
10	39	3533
11	43	3554
12	44	3356
13	47	3355
14	50	3337
15	53	3290
16	57	3313
17	60	3326
18	64	3355
19	68	3362
20	71	3342
21	74	3331
22	78	3354
23	81	3330
24	85	3339
25	89	3360
26	93	3368
27	97	3372
28	100	3367
29	103	3350
30	107	3345
31	110	3344
32	113	3326
33	117	3330
34	120	3318
35	123	3304
36	127	3306
37	129	3285
38	133	3295
39	137	3290
40	140	3284
41	143	3278
42	147	3283
43	150	3272
44	153	3268
45	156	3251
46	160	3263
47	165	3275
48	168	3273
49	173	3296
50	176	3290
51	180	3291
